ID,Paikannimi,Paikanlaji,Kartan numero,Kerääjän karttanumero,X,Y,Pistesij.viite,Pitäjä,Kerääjä,Vuosi,Aakkonen,Kuvatiedosto,Jatko,PEX,Muut nimet,Todellinen pitäjä,KarttaID,X_euref,Y_euref,HuomioKotus,Kokoelma,Kuvalinkki,RerSer,Emolippu,wgs84_long,wgs84_lat
5,Aholanristeys,tienristeys,,,97,28,2,Aitolahti,"Mäkelä, Matti",1969,A,00000005_F.jpg,,,,,1491,337925.237731858,6829038.40164584,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0004_AHVENANMAA-AITOLAHTI-AKAA\JPG\Aitolahti\A\kotus-201214_0004_AHVENANMAA-AITOLAHTI-AKAA_JPG_Aitolahti_A_00000005_F.jpg,5546,,23.9486737426,61.5606904674
8,Ahomoisio,pelto,,,,,,Akaa,"Linkoaho, Sirkka",1950,A,00000008_F.jpg,,,,,0,-1,-1,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0004_AHVENANMAA-AITOLAHTI-AKAA\JPG\Akaa\A\kotus-201214_0004_AHVENANMAA-AITOLAHTI-AKAA_JPG_Akaa_A_00000008_F.jpg,6700,,-1,-1
9,Ahonen,talo,,,,,,Akaa,"Linkoaho, Sirkka",1950,A,00000009_F.jpg,,,,,0,-1,-1,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0004_AHVENANMAA-AITOLAHTI-AKAA\JPG\Akaa\A\kotus-201214_0004_AHVENANMAA-AITOLAHTI-AKAA_JPG_Akaa_A_00000009_F.jpg,6701,,-1,-1
6,Ahtajärven maantie,tie,,,,,,Akaa,"Linkoaho, Sirkka",1950,A,00000006_F.jpg,,,,,0,-1,-1,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0004_AHVENANMAA-AITOLAHTI-AKAA\JPG\Akaa\A\kotus-201214_0004_AHVENANMAA-AITOLAHTI-AKAA_JPG_Akaa_A_00000006_F.jpg,6699,,-1,-1
45,Ahteenalustapelto,pelto,,1,3,E,12,Ahlainen,"Lenko, Marja",1967,A,00000045_F.jpg,,,,,1471,219274.134330881,6848003.29780076,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000045_F.jpg,40,,21.6947384499,61.6622203119
46,Ahteenniittu,pelto,,1,7,H,4,Ahlainen,"Lenko, Marja",1967,A,00000046_F.jpg,,,,,1471,223404.090326825,6844099.38415442,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000046_F.jpg,41,,21.7783059548,61.6303155917
47,Ahteenniitty,pelto,114401,,23,47,9,Ahlainen,"Laine, Helena",1989,A,00000047_F.jpg,,,,,1485,223443.78944637,6844381.78873496,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000047_F.jpg,42,,21.7786251465,61.6328687706
48,Ahvenapaja,apaja,V:3/16,II,3,D,3,Ahlainen,"Vasama, Marjatta",1963,A,00000048_F.jpg,,,,,1458,209569.733624302,6849016.01321958,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000048_F.jpg,43,,21.5107092133,61.6640587757
49,Ahvenapaja,apaja,V:3/16,1,6,C,1,Ahlainen,"Kleemola, Tarja",1969,A,00000049_F.jpg,,,,,1476,211893.549047287,6849962.62636079,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000049_F.jpg,44,,21.5529013518,61.6742676529
50,Ahvenkarinnokka,niemeke,,1,9,I,9,Ahlainen,"Peltola, Satu-Liisa",1966,A,00000050_F.jpg,,,,,1466,215005.981596756,6843924.8635403,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000050_F.jpg,45,,21.6208481626,61.622627829
51,Ahvenkivenranta,ranta,,1,8,G,25,Ahlainen,"Peltola, Satu-Liisa",1966,A,00000051_F.jpg,,,,,1466,213728.965915551,6846083.04578784,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000051_F.jpg,46,,21.5934970105,61.6409681555
52,Aidanjohdinpelto,pelto,V:3/11,I,5,K,1,Ahlainen,"Vasama, Marjatta",1962,A,00000052_F.jpg,,,,,1457,211510.691051979,6853341.31079051,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000052_F.jpg,47,,21.5403552674,61.7041731805
1887,Äijäkorpi,niitty,114211,,17,58,3,Ahlainen,"Miikkulainen, Raija",1986,Ä,00000001_F.jpg,,,,,1483,217728.804567119,6855471.51821881,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0003_AHLAINEN\JPG\Ahlainen\Ä\kotus-201214_0003_AHLAINEN_JPG_Ahlainen_Ä_00000001_F.jpg,5459,,21.654115755,61.7278392773
1888,Äijäkorven Alinenala,niitty,114211,,17,58,3,Ahlainen,"Miikkulainen, Raija",1986,Ä,00000002_F.jpg,,,,,1483,217727.267540049,6855476.12930003,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0003_AHLAINEN\JPG\Ahlainen\Ä\kotus-201214_0003_AHLAINEN_JPG_Ahlainen_Ä_00000002_F.jpg,5460,,21.6540796354,61.7278793585
