paikanlaji,
eteläranta,
etelärinne,
etukaivo,
etupiha,
etuvartiopaikka,
etuvarustus,
golfkeskus,
grilli,
grillikatos,
grillipaikka,
haapa,
haasia,
haasian paikka,
haasianpaikka,
haasioiden pitopaikka,
haaska,
haat,
haata,
haavat,
haikka,
hailuoto,
hakakorpi,
hakaportti,
hakaranta,
hakkuujätekasa,
hako,
hakoja,
hakojen pitopaikka,
hala,
halkeama,
halkema,
halki,
halkojen keräyspaikka,
halkojen kokoamis- ja lastausp,
halkojen kuljetuspaikka,
halkojen lastauspaikka,
halkojen pinoamispaikka,
halkojen säilytyspaikka,
halkojenpurkauspaikka,
halkojentekoalue,
halkolaaninpaikka,
halkoliiteri,
halkoliiterit,
halkomaa,
halkopaikka,
halkopino,
halkopinot,
halkotarha,
halli,
hallintopaikka,
hallintopitäjä,
hallirakennus,
hallit,
halonhakkuupaikka,
halonlastauspaikka,
halontekolaite,
halontekopaikka,
hamina,
haminamaa,
haminapaikka,
haminaranta,
hammashoitola,
hamn,
hamnplats,
hamppujen liotuspaikka,
hamppuroopit,
hamppurooppi,
hampunliotuspaikka,
hampunlioutuskuoppa,
hampurilaispaikka,
harjanneranta,
harjatehdas,
harjoittelupaikka,
harjoittelutila,
harjoitusalue,
harjoituskenttä,
harjoituspaikka,
harjukannas,
harjuleikkaus,
harjuntorppa,
harjupelto,
harjus,
harrastuskeskus,
hartaudenharjoituspaikka,
haustausmaa,
hauta,
hauta-alue,
hautakumpi,
hautakumpu,
hautakuoppa,
hautalaakso,
hautalaskeuma,
hautamuistomerkki,
hautamuodostuma,
hautapaikat,
hautapaikka,
hautapenkki,
hautarakennus,
hautasauna,
hautauma,
hautauspaikka,
hautauspalvelu,
,
hautavare,
hautoja,
havaintoasema,
heikkovirtainen kohta,
heinikkolahukka,
heinikkoniemi,
heinikkosaareke,
heinikkosaarekkeet,
heinikkosaari,
heino,
heinä,
heinäaapa,
heinäajotie,
heinähaasia,
heinähaasioiden pitopaikka,
heinähuone,
heinäkota,
,
heinäkämppä,
heinäladot,
heinälato,
heinälotti,
heinämaja,
heinämyyntiosuus,
heinänkuivatuspaikka,
heinänmyyntiosuus,
heinänpitopaikka,
heinäntekomaa,
heinäntekopaikka,
heinäosuus,
heinäpakka,
heinäpellot,
heinäpelto,
heinäsaareke,
heinäsaari,
heinäsarat,
heinäsarka,
heinäsarraimet,
heinäsuoja,
heinäsuova,
heinäsuovan paikka,
heinäsuuli,
heinätalli,
heinätie,
heinätysalue,
heinävainio,
heinävaja,
heittiömaa,
hemman,
hemmansnamn,
henkikirjakylä,
henämaa,
herraskartano,
hetearanne,
hevosajotie,
hevosen hauta,
hevosien hauta,
hevosmarkkinapaikka,
hevosrata,
hevosrattaat,
hevostie,
hevostienpohja,
hevosvesikierto,
hiekka-aho,
hiekkajuonto,
hiekkakaarre,
hiekkakaivannot,
hiekkakaivanto,
hiekkakaivo,
hiekkakasa,
hiekkamätäs,
hiekkapankit,
hiekkapankki,
hiekkatie,
hietapatteri,
hietaprunnialue,
hietikkolahti,
hiidenkirju,
hiidenkirnu,
hiidenkirnupaikka,
hiidenkirnut,
hiidenkiuas,
hiidenkiukaat,
hiidenkivi,
hiihtomaja,
urheilumaja,
hiilen polttopaikka,
hiilenpoltto paikka,
hiilenpolttoalue,
hiilenpolttohautoja,
hiilenpolttomäki,
hiilenpolttopaikka,
hiilentekopaikka,
hiilenvalmistuspaikka,
hiilien polttopaikka,
hiilien säilytyspaikka,
hiilienpolttopaikka,
hiilihaudan paikka,
hiilihaudan raunio,
hiilihaudat,
hiilihauta,
hiilihuoneenpaikka,
hiililato,
hiilimiilu,
hiilimiilun paikka,
hiilimiilun pohja,
hiilimiilunpaikka,
hiilimiilunpohja,
hiilimiilut,
hiilintekopaikka,
hiilipaja,
hiilivarasto,
hiiltenvalmistuspaikka,
hiiltämislaitos,
hiiltämö,
hila,
hilat,
hilla,
hillamaa,
hillapaikka,
hillapounikko,
hillapounu,
hillikko,
hinaaja,
hiomo,
hirret,
hirsi,
hirsiaho,
hirsialusta,
hirsilato,
hirsipaikka,
hirsiveistämö,
hissi,
hoilo,
hoitoalue,
hoitola,
hoitolaitos,
holi,
hollikamari,
hollit,
hollitupa,
holma,
holmat,
holme,
holvi,
honganrunko,
hongat,
honka,
hopeapaju,
hotelli,
hotellirakennus,
hotelliravintola,
hovi,
hovin haka,
hovin maat,
hovin osa,
hovin paikka,
hovin portti,
hovinpaikka,
hullujenhuone,
humalamaa,
humalanviljelyalue,
humalatarha,
humalatarhan paikka,
humalienkasvatuspaikka,
humalisto,
huolintaliike,
huoltamo,
huoltoasema,
huoltoaseman paikka,
huoltolaitos,
huoltoreitti,
huoltotie,
huone,
huoneet,
huoneisto,
huoneistokeskus,
huonekaluverstas,
huono kohta tiellä,
huopatehdas,
huutokunta,
huutopaikka,
huvialue,
huvikenttä,
huvila,
huvila-alue,
huvila-asumus,
huvila-asunto,
huvila-asutusalue,
huvila-asutuspaikka,
huvilamökki,
huvilan paikka,
huvilanpaikka,
huvilapaikka,
huvilapalsta,
huvilapalstatila,
huvilapalstga,
huvilarakennus,
huvilaryhmä,
huvilasaari,
huvilaseutu,
huvilat,
huvilatalo,
huvilatila,
huvilatontti,
huvilatonttoi,
huvilayhdyskunta,
huviloiden paikka,
huvimaja,
huvimajat,
huvipaikka,
huvipalsta,
huvipuistikko,
huvipuisto,
huvitila,
huvittelupaikka,
huvla,
hvila,
hyljeapaja,
hylkivalkama,
hylky,
hyllyräme,
hyppylauta,
hyppypaikka,
hyppyri,
hytin paikka,
hytinpohja,
hytti,
hyvila,
hyöteikön osa,
hyötymaa,
häkki,
hällor,
häme,
hämälänpaikka,
härkienpitopaikka,
härkähaka,
härkälaidun,
härkätarha,
härkätie,
hätäsatama,
höjd,
hökkeli,
hökkeliryhmä,
höylä,
höylän paikka,
höyläpaikka,
höyläsaha,
höyläämö,
höyläämörakennus,
höyrykone,
höyrymylly,
iH,
ie,
iemi,
iittysarka,
ija,
ijoki,
ikkunan alus,
illanviettopaikka,
ilmatorjuntapatterit,
ilonpitopaikka,
ilopaikka,
iltamapaikka,
imäki,
inapaikka,
instituutti,
invalidikoti,
invalidisairaala,
irtokanto,
irtokivet,
irtokivi,
irtokivilohkare,
irtolohkare,
irtolohkareet,
iso aukea,
iso lato,
istumispaikka,
ite,
itila,
itsellinen,
itsellispaikka,
itäinen puoli,
itäinenpää,
itälahti,
itälaide,
itämaa,
itäosa,
itäpelto,
itäpuoli,
itäpää,
itäraja,
itäranta,
itärinne,
jabbas,
jahti,
jahtilava,
jaka,
jakautumispaikka,
jakelupiste,
jako-osuus,
jakokunta,
jakomaa,
jakotila,
jakso,
jalanjälkiä,
jalankulkupaikka,
jalavankanto,
jalavat,
jalkakäytävä,
jalkakäytävät,
jalkamylly,
jalkapallokenttä,
jalkapolku,
jalkaporras,
jalkataival,
jaloittelupaikka,
jaloittelutarha,
jatapaikka,
jatke,
jatko,
jatko-osa,
jatulintarha,
jauhatusmylly,
jauhatuspaikka,
jauhomylly,
jauhotynnyri,
joen itäpuoli,
joen ja radan risteys,
joen kivikko,
joen kulkuväylä,
joen niemeke,
joen niska,
joen saari,
joen seutu,
joenniemeke,
joenniemi,
joenniska,
joensaari,
joensulku,
joenylityshirsi,
johde,
johdeaita,
jokela,
jokiauhto,
jokiautto,
jokikylä,
jokiluoto,
jokimaa,
jokimylly,
jokiniemeke,
jokiniemi,
autto,
jokirauma,
jokirinne,
jokisaari,
jokisilta,
,
joukkohauta,
joutoalue,
joutomaa,
joutomaa-alue,
joutomaakaistale,
joutomaalohko,
joutomaankappale,
joutomaanotkelma,
joutomaatilkku,
juhannusjuhlien pitopaikka,
juhannuskokkopaikka,
juhannussalko,
juhlakenttä,
juhlapaikka,
juhlasali,
jumalanpalveluspaikka,
juna,
junanvaunu,
junaradan piennar,
junkkala,
juntu,
juoksu,
juoksuhaudat,
juoksuhauta,
juoksuhauta-alue,
juoksukohta,
juoksunmutka,
juoksuoja,
juolua,
juoma,
juomahuone,
juomapaikka,
juomavedenottopaikka,
juomuspaikka,
juonenpaikka,
juonet,
juoni,
juonne,
juontipaikka,
juopottelupaikka,
juotomaa,
juotti,
juottopaikka,
juottotie,
juurakko,
juurakkomaa,
juurakot,
juuri,
juurikasmaa,
jyrhämö,
jyrkkä,
jyvärenkitorppa,
jyvätaksitorppa,
jäidensäilytyshuone,
jäidensäilytyspaikka,
jäkkiheinän kasvualue,
jäkälikkö,
jäkälämaa,
jäkälänkeruukeskus,
jälde,
jäljet,
jälki kalliossa,
jälki kivessä,
jängän ylityspaikka,
jänisfarmi,
,
jänkkävainio,
jänkäreitti,
jännitelinja,
järjestö,
järjestötalo,
järkäle,
järven luoto,
järven ympäristö,
järvenniemi,
järvenrantamutka,
järvenrantapalsta,
järvenrantarinne,
järvensaari,
järvenseudut,
järventörmä,
"järvi, kylä",
järviaukea,
järvien ympäristö,
järvikivi,
järvikuivion osa,
järvikuiviopalsta,
järvikunta,
järvilinja,
järvilohko,
järviniitynoja,
järvipalsta,
järviruohikko,
järvirämäkkeen itäinen puoli,
järämä,
jätekuona,
jätteitä,
jättö,
jättölampi,
jättömaa,
jättömaat,
jättömää,
jäven osa,
jää,
jäähalli,
jääkärikomppanja,
jäännökset,
jäänottopaikka,
jäärata,
jäärven osa,
kaahla,
kaakko,
kaakkoiskulma,
kaakkoiskärki,
kaakkoisoa,
kaakkoisosa,
kaakkoisosat,
kaakkoispää,
kaakkoisranta,
kaalatos,
kaalimaa,
kaareuma,
kaareutuma,
kaareutumat,
kaareva maa,
kaari,
kaarisilta,
kaarre,
kaarre rannassa,
kaarre tiessä,
kaarreke,
kaarrekohta,
kaarrevesi,
kaarros,
kaartama,
kaava-alue,
kaavoitusalue,
kadun osa,
kadunkulma,
kadunnimi,
kadunosa,
kadunpätkä,
kadut,
kaha,
kahlaamo,
kahlaamopaikka,
kahlauspaikka,
kahluualue,
kahluupaikka,
kahti,
kahvimaja,
kahvittelupaikka,
kainalo,
kaisla-alue,
kaislapuska,
kaislaranta,
kaislat,
kaislikko,
kaislikkoalue,
kaislikkokohta,
kaislikkolahti,
kaislikkoranta,
kaislikot,
kaita,
kaita kohta,
kaita suikale rannalla,
kaitale,
kaitamaan osa,
kaivanne,
kaivannos,
kaivannot,
kaivantaoja,
kaivanto,
kaivaus,
kaivettu kohta,
kaivi,
kaivo,
kaivohuone,
kaivon paikka,
kaivon sijaintipaikka,
kaivonpaikka,
kaivosoja,
kaivosyhdyskunta,
kaivosyritys,
kaivot,
kaivuoja,
kaivupaikka,
kaivuumonttu,
kaksi,
kaksoissaari,
kalakenttä,
kalankuivauslaitteet,
kalanpyyntipato,
kalanpyyntiruoti,
kalanpyyntökenttä,
kalanpyytökenttä,
kalapato,
kalapolku,
kalarisu,
kalastustontti,
kalatie,
kalaturo,
kalho,
kaljan säilytyspaikka,
kaljanjuontipaikka,
kalkin polttopaikka,
kalkinlouhintapaikka,
kalkinottopaikka,
kalkinpolttamo,
kalkinpolttopaikka,
kalkintekopaikka,
kalkkialue,
kalkkihauta,
kalkkilouhimo,
kalkkimaa-alue,
kalkkitehdas,
kalkkiuunit,
"kallio, metsä",
"kallio, metsäalue",
"kallio,metsä",
"kallio,niemi",
"kallio,niittu",
,
kalliokaiverrus,
kalliokannas,
kalliokellari,
kalliokuva,
kalliokoski,
kalliomerkki,
kallioletot,
kallioletto,
kallion,
kallion pata,
kallionlahti,
kallionlouhintapaikka,
kallionummi,
kalliotie,
kalmisto,
kalmiston paikka,
kalmistonpaikka,
kalustovaja,
kamari,
kammet,
kammio,
kampaamo,
kampikaivo,
kanaali,
kanala,
kananjalostuskeskus,
kanas,
kanaskoulu,
kanavanpuoli,
kanavanvarsipenkka,
kanervikko,
kangasaho,
kangaspuisto,
kangassalmi,
kangastaival,
kangastie,
kankaalla,
kankaiden väli,
kankaidenlaitamaa,
kankipaja,
kannikko,
kannokko,
kannot,
kansakoulu,
kansakoulun paikka,
kansakoulun rakennus,
kansakoulun tontti,
kansakoulunpalsta,
kansakoulupiiri,
kansakoulurakennus,
kansakoulut,
kansalaisopisto,
kansallispuisto,
kansankeittiö,
kansanopisto,
kansanopiston paikka,
kansanopistorakennus,
kansanpuisto,
kansansivistyslaitos,
kanskakoulu,
kantaosa,
kantapaikka,
kantatalo,
kantatila,
kanto,
kantoalue,
kanttiini,
kanttorila,
kapakka,
kapale,
kapaleet,
kapea alue,
kapea jatke,
kapea kohta,
kapea kohta tiessä,
kapea maastonkohta,
kapea paikka,
kapea väylä,
kapeakohta,
kapeikko,
kapeikko joessa,
kapeikkokohta,
kapeikonkohta,
kapeima,
kapein kohta,
kapeneva kohta,
kapeneva paikka,
kappale,
kappale maantietä,
kappale pellosta,
kappeli,
kappelinpaikka,
kappeliseurakunta,
kapulasillan paikka,
kapulasillat,
kapulasilta,
kapulatie,
kapulatiet,
kapunginosa,
karamellitehdas,
kareikko,
karikkoinen maa,
karikkoinen paikka,
karimaa,
,
karinottopaikka,
karjahako,
karjakaivo,
karjalaistila,
karjamäki,
karjan joen ylityspaikka,
karjan juomapaikka,
karjan kahlauspaikka,
karjan yliuittopaikka,
karjanhaka,
karjanjuottopaikka,
karjankuljetussilta,
karjansillat,
karjansilta,
karjansola,
karjantanhut,
karjantie,
karjapolku,
karjapolut,
karjaportti,
karjasillantalo,
karjasillat,
karjasilta,
karjasola,
karjasolan suu,
karjasulku,
karjatanhua,
karjatanhut,
karjatie,
karjatien pohja,
karjatila,
karjaveräjä,
karjopolku,
karjoraitti,
karjotie,
karkkipuoti,
karko,
karos,
karpalopaikka,
karsikko,
karsikkopuu,
karsikot,
karsina,
karta,
kartana,
kartano,
kartanoalue,
kartanomaa,
kartanon augmentti,
kartanon maa,
kartanon maat,
kartanon osa,
kartanon paikka,
kartanonosa,
kartanonpaikka,
kartanopalsta,
kartanot,
karti,
kartoituslinja,
kartoitustorni,
kartonkitehdas,
kartotustorni,
karttanimi,
kasa,
kases,
kasino,
kaskenpolttotie,
kaskisauna,
kasvattamo,
kasvatusaltaat,
kasvatuslaitos,
kasvihuone,
kasvihuonealue,
kasvihuoneet,
kasvillisuus,
kasvimaa,
kasvipuutarha,
kasvitarha,
kasvupaikka,
kataja,
katajat,
katano,
katava,
katedraali,
katettu kuoppa,
kati,
katos,
kattilakunta,
katto,
katu,
katujen kulmaus,
katujen risteys,
katuvalot,
kaukalo,
kaukolämpölaitos,
kauneushoitola,
kaupa,
kaupan edusta,
kaupan paikka,
kaupan piha,
kaupan seutu,
kaupan tontti,
kaupan ympäristö,
kaupanpaikka,
kaupat,
kaupinginosa,
kauppa,
kauppa-aitta,
kauppahalli,
kauppakartano,
kauppakatu,
kauppakeskus,
kauppakiinteistö,
kauppakojut,
kauppakorkeakoulu,
kauppakoulu,
kauppaliike,
kauppapaikka,
kauppapolku,
kauppapuoti,
kauppapuutarha,
kaupparakennus,
kauppatalo,
kauppatie,
kauppatila,
kauppatontti,
kauppatori,
kauppavarasto,
kaupungin,
kaupunginraja,
kaupungintalo,
kaura-aho,
kaurojen survomispaikka,
kauttakulkupaikka,
kava,
kavana,
kaventuma,
kedot,
kehikko,
kehikko puussa,
kehikot,
kehruuhuone,
kehruulaitos,
kehto,
keilahalli,
keilarata,
keinu,
keinumispaikka,
keinun paikka,
keinunpaikka,
keinupaikka,
keittiö,
keittiörakennus,
keittohuone,
keittopaikka,
keittotupa,
kellari,
kellarialue,
kellarien paikka,
kellarikuoppa,
kellarilantala,
kellarin paikka,
kellarin ympäristö,
kellarinpaikka,
kellaripaikka,
kellarit,
kello,
kelloseppä,
kellotapuli,
kellotorni,
kelo,
kelohonka,
kelontekemä,
kemppä,
kemä,
kenkätehdas,
kenttä,
kenttäalue,
kenttäaukeama,
kenttäkauppa,
kenttämoisio,
kenttäpaikka,
kenttäpirtti,
kenttärata,
kenttävahti,
kentän tienoo,
kentät,
keppitehdas,
kerho,
kerhomaja,
kerhorakennus,
kerhotalo,
kerhotila,
kerrostalo,
kerrostaloalue,
kerrostaloryhmä,
kerrostalot,
keräyspaikka,
kesanto,
kesantomaa,
keskijuoksu,
keskikievari,
keskikohta,
keskikylä,
keskilato,
keskimaita,
keskiosa,
keskipaikka,
keskus,
keskusalue,
keskuskatu,
keskuskylä,
keskuspaikka,
keskussairaala,
keskustalo,
keskusvankila,
keskusvarasto,
kessumaa,
kestikievari,
kestikievarin paikka,
kestikievaritalo,
kesäasumus,
kesäasunnon paikka,
kesäasunnot,
kesäasunto,
kesäasuntoalue,
kesäasuntotila,
kesäasutus,
kesähautapaikka,
kesähuvila,
kesähuvila-alue,
kesähuvilapaikka,
kesähuvilatontti,
kesäkartano,
kesäkoti,
kesäkoto,
kesäkööki,
kesälaidun,
kesälaidunalue,
kesälaidunpaikka,
kesäleiri,
kesämaja,
kesämajan paikka,
kesämajat,
kesämökkitie,
kesänavetan paikka,
kesänavetta,
kesänuotanvetopaikka,
kesäranta,
kesäsiirtola,
kesätie,
kesäuimala,
ketto,
kettufarmi,
kettujen oleskelupaikka,
kettujen pesimispaikka,
kettutarha,
kettutarhan paikka,
kettutarhan ruuanvalmistuspaik,
ketun pesä,
ketunkolot,
ketunluola,
ketunluolat,
ketunluolien paikka,
ketunpesäkolo,
ketunpesäpaikka,
ketunpesät,
ketunpyydys,
ketunpyyntipaikka,
ketupesien seutu,
kevari,
keväisin ja märkinä kesinä vet,
kibi,
kiekeröintipaikka,
kiertokoulu,
kiertolenkki,
kiertotie,
kiertoväylä,
kierä,
kievari,
kievaripuustelli,
kihlakunta,
kihlua,
kiikku,
kiikkualue,
kiikkupaikka,
kiikun paikka,
kiikunpaikka,
kiila,
kiimomispaikka,
kiinnityspaalut,
kiinnityssarka,
,
kiintolinja,
kiintopiste,
kiipeilyreitti,
kiisunottopaikka,
kiiv,
kilometrintorppa,
kilometripaalu,
kilometripylväs,
kilometripylväät,
kilpa-ajopaikka,
kilpa-ajorata,
kilparata,
kilta,
kimpivarasto,
kinkerikunta,
kinkeripiiri,
kinttupolku,
kioski,
kioskit,
kipari,
kirjakauppa,
kirjapaino,
kirjasto,
kirjastorakennus,
kirjastotalo,
kirkko,
kirkkoherran virkatalo,
kirkkokunta,
kirkkomaa,
kirkkopirtti,
kirkkopolku,
kirkkoportti,
kirkkoranta,
kirkkotalli,
kirkkotallit,
kirkkotie,
kirkkotontti,
kirkkovalkama,
kirkkovene,
kirkkoveneen säilytyspaikka,
kirkkoveneiden reitti,
kirkkoveneiden säilytyspaikka,
kirkkovenekatos,
kirkkoveneranta,
kirkkovenetalas,
kirkkovenevalkama,
kirkon krypta,
kirkon lähiympäristö,
kirkon paikka,
kirkon penkkirivit,
kirkon rauniot,
kirkon tienoo,
kirkon ympäristö,
kirkonkello,
kirkonkellot,
kirkonpaikka,
kirkonpohja,
kirkot,
kirnu,
kirnut,
kisailupaikka,
kisakallio,
kisakenttä,
kisapaikka,
kiuas,
kiukama,
kiv,
kiva,
kivalo,
kiven juuri,
kiven ulkonema,
kiven ympäristö,
kivenlouhintapaikka,
kivenmukelo,
kivenmurennuspaikka,
kivennostopaikka,
kivenottopaikka,
kivetys,
kiveys,
kivi joessa,
kiviaita,
kiviaitaus,
kivienhakkuupaikka,
kiviesteet,
kivihiomo,
kivijalat,
kivijalka,
kivijono,
kivijoukko,
kivijuotti,
kivikaivo,
kivikautinen asuinpaikka,
kivikellari,
kivikenkku,
kivikkoaho,
kivikkolahti,
kivikkovirta,
kivilaaka,
kivilaituri,
kivilautta,
kivilinja,
kiviloukkio,
kivimuuri,
kivimylly,
kivimöljä,
kivioja,
kivipato,
kivipenger,
kivipohjalähde,
kiviportti,
kivipykki,
kivipyykki,
kivipyykkikankaan osa,
kiviraiviot,
kivirakennus,
kivirakka,
kivirotko,
kivirummun seutu,
kivirönsikkö,
kivisautuma,
kivisieta,
kivisilta,
kivisyrjät,
kivitahko,
kivitalo,
kivitaloalue,
kiväärirata,
kjuja,
klivi,
klubi,
ko0ski,
koaski,
kodan paikka,
kodanpaikka,
koeampumalinja,
koelaitos,
koeviljelystila,
kohdat,
kohde,
selkäkohta,
kohta kanavassa,
selkäosa,
selkäpaikka,
kohta maantiessä,
kohta metsätiellä,
kohta polulla,
kohta rannalla,
kohta rannassa,
kohta tiellä,
kohta tiessä,
kohtaamispaikka,
kohtauspaikka,
koirien hoitopaikka,
koivikkoaho,
koivuistutus,
koivukuja,
,
koju,
kokkopaikka,
kokoamisaita,
kokoamispaikka,
kokon paikka,
kokon polttopaikka,
kokonpaikka,
kokonpolttopaikka,
kokonviettopaikka,
kokoontumisalue,
kokoontumispaikka,
kokouma,
kokoushuone,
kokouspaikka,
kokousrakennus,
kolinpaikka,
kolinpohja,
kolinpolttopaikka,
kolkka,
kolmio,
kolmiomittaustorni,
kolmionmittaustorni,
kolmiopiste,
kolo,
kolo kalliossa,
kolot,
kolve,
komero,
komerot,
kone,
konehalli,
koneiden säilytyspaikka,
konekivääripesäke,
konekorjaamo,
konepaja,
konepajan alue,
konepajojen paikka,
konto,
konttori,
konttorialue,
konttorirakennus,
kooju,
koppeli,
koppi,
koristepuuryhmä,
korjaamo,
korkeajännitelinja,
korkeakoulu,
korki,
korko,
koroke,
korotus,
korpikytö,
korpiniemi,
korpipalsta,
korpiranta,
korpisaareke,
korpisalmeke,
korpitie,
korpivuoman osa,
korpo,
korppi,
korsu,
korsujen rauniot,
korsut,
korteikko,
korteikkomutka,
korteikkopaikka,
kortepaikka,
kortesaari,
kortinpeluupaikka,
kortteikko,
kortteli,
korvenperukka,
korvensaareke,
korvikkoalue,
kosken mätäs,
kosken ympäristö,
koskenaro,
koskentörmä,
koskenvarsi,
koskikari,
koskimaa,
koskis,
koskitilat,
kostea heinää kasvava ala,
kosteikkosaajo,
kosteikon ylityspaikka,
kotihaka,
kotila,
kotimaa,
kotimuseo,
,
kotiranta,
kotiseututalo,
kotitalo,
kouhupaikka,
koulitila,
koulutila,
kourukivi,
kranaatinheitinkomppanja,
kranni,
krinni,
krinnit,
krinti,
krintti,
krouvi,
krouvin paikka,
krunni,
kruununmetsätorppa,
kruununpuisto,
kruununpuustelli,
kruununrustholli,
kruununtalo,
kruununtila,
kruununtorppa,
krök,
ktila,
kuhertelupaikka,
kuija,
kuilujen suut,
kuisti,
kuitu,
kuivaaja,
kuivaamolaitteet,
kuivaamorakennus,
kuivakangas,
kuivatuslato,
kuivaushuone,
kuivaussauna,
kuivunut rauma,
kuivuri,
kuivurin ympäristö,
kuja,
kujaiset,
kujamaa,
kujan alkuosa,
kujan jatke,
kujan kohta,
kujan mutka,
kujan osa,
kujan paikka,
kujan pää,
kujan pääte,
kujan pääty,
kujan suu,
kujanen,
kujanjatke,
kujanne,
kujanpätkä,
kujanpää,
kujansuu,
kujaset,
kujasien loppukohta,
kujasien pää,
kujasien päätekohta,
kujasten alku,
kujat,
kujien risteys,
kujien suu,
kujo,
kujoset,
kujosten osa,
kukkakauppa,
kukkapenkki,
kuljetuspaikka,
kuljetustie,
kuljetusväylä,
,
kulku-ura,
kulkupaikka,
kulkureitti,
kulkutautisairaala,
kulkutie,
kulkutienpää,
kulkuväylä,
kullanhuuhdontapaikka,
kulle,
,
kullepaikka,
kulma,
kulmaku,
kulmakuja,
kulmakulma,
,
kulmakunnan,
kulmakunnan osa,
kulmakunnan osa,
kulmakunnanosa,
kulmakunnat,
kulmakunta/kulmakulnta,
kulmakutna,
kulmakylä,
kulmankunnan paikka,
kulmanpaikka,
kulmapaikka,
kulmapalsta,
kulmat,
kulmaus,
kulmkaunta,
kulmkunta,
kulo,
kuloalue,
kulohonka,
kulomaa,
kulonpolttama alue,
kulopaikka,
kulotettu alue,
kulotettu osa,
kulotettu paikka,
kulotusalue,
kuloutunut osa,
kultakaivos,
kulttipaikka,
kulttuurikeskus,
kulttuurikoti,
kulttuuritalo,
kulä,
