ID,Paikannimi,Paikanlaji,"Kartan numero","Kerääjän karttanumero",X,Y,Pistesij.viite,Pitäjä,Kerääjä,Vuosi,Aakkonen,Kuvatiedosto,Jatko,PEX,"Muut nimet","Todellinen pitäjä",KarttaID,X_euref,Y_euref,HuomioKotus,Kokoelma,Kuvalinkki,RerSer,Emolippu,wgs84_long,wgs84_lat
182,Baablinginlahti,meri,114208+114205,,08-10,54-55,,Ahlainen,"Miikkulainen, Raija",1986,B,00000182_F.jpg,,,,,1482,208446.8347749405,6851625.030038904,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000182_F.jpg",167,,21.485433807329,61.686521226422
183,Baablingi,saari,V:3/16,II,3-4,B,,Ahlainen,"Vasama, Marjatta",1963,B,00000183_F.jpg,,,,,1458,209328.3870359235,6851488.647722983,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000183_F.jpg",168,,21.502234374879,61.685971071599
184,Baanakallio,saari,V:3/16,II,6,A,8,Ahlainen,"Vasama, Marjatta",1963,B,00000184_F.jpg,,,,,1458,212554.3080004707,6852674.152328103,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000184_F.jpg",169,,21.561053081274,61.698994548853
185,Baaslooda,apaja,V:3/16,II,3,D,2,Ahlainen,"Vasama, Marjatta",1963,B,00000185_F.jpg,,,,,1458,209213.7640367242,6849872.68728462,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000185_F.jpg",170,,21.502653583007,61.671444558608
186,Backö,"maa-alueen osa",,,,,,Ahlainen,"Vasama, Marjatta",1963,B,00000186_F.jpg,,,,,0,-1,-1,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000186_F.jpg",171,,-1,-1
187,Badstuskär,saari,V:3/16,II,1,"D,E,F",,Ahlainen,"Vasama, Marjatta",1963,B,00000187_F.jpg,,,X,,1458,207134.9414617143,6849657.956373623,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000187_F.jpg",172,,21.463913757767,61.667946668643
187,Badstuskär,talo,V:3/16,II,1,D,,Ahlainen,"Vasama, Marjatta",1963,B,00000187_F.jpg,,,X,,1458,207134.9414617143,6849657.956373623,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000187_F.jpg",173,,21.463913757767,61.667946668643
188,Baggeenniittu,pelto,V:3/16,1,9,F,1,Ahlainen,"Kleemola, Tarja",1969,B,00000188_F.jpg,,,,,1476,215170.3442636008,6846845.497802462,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000188_F.jpg",174,,21.619389305188,61.648852736093
189,bakka,A,,,,,,Ahlainen,"Miikkulainen, Raija",1986,B,00000189_F.jpg,,,,,0,-1,-1,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000189_F.jpg",175,,-1,-1
190,Bakkee,maa,V:3/16,II,9,E,2,Ahlainen,"Vasama, Marjatta",1963,B,00000190_F.jpg,,,,,1458,214981.4534038171,6847602.094359201,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000190_F.jpg",176,,21.614660063274,61.655474768675
191,Bastuholma,torppa,,1,9,H,11,Ahlainen,"Peltola, Satu-Liisa",1966,B,00000191_F.jpg,,,,,1466,214442.1379794496,6845386.60880847,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000191_F.jpg",177,,21.607982085573,61.635274055631
192,Bastuviiki,lahti,114211,,13,58,1,Ahlainen,"Miikkulainen, Raija",1986,B,00000192_F.jpg,,,,,1483,213240.541423275,6855898.523532526,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000192_F.jpg",178,,21.568887891222,61.728323227994
193,Bastuviiki,lahti,V:3/11,I,6,H,1,Ahlainen,"Vasama, Marjatta",1963,B,00000193_F.jpg,,,X,,1457,213142.503113126,6855836.824812639,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000193_F.jpg",179,,21.567138314273,61.727698476454
193,Bastuviikinkallio,,V:3/11,I,6,H,2,Ahlainen,"Vasama, Marjatta",1963,B,00000193_F.jpg,,,X,,1457,213242.2080925304,6855801.793996058,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000193_F.jpg",180,,21.569071871976,61.727460039445
194,Bastuviikinranta,kariryhmä,114211,,13,58-59,,Ahlainen,"Miikkulainen, Raija",1986,B,00000194_F.jpg,,,,,1483,213452.4617504067,6855618.58633602,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000194_F.jpg",181,,21.573321506819,61.72598003946
196,Bäriholma,saari,V:3/16,II,1,B,,Ahlainen,"Vasama, Marjatta",1963,B,00000196_F.jpg,,,,,1458,207299.8814865144,6851661.315381927,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000196_F.jpg",182,,21.463801082207,61.685972663818
197,Bergö,kallio,114211,,14,51,1,Ahlainen,"Miikkulainen, Raija",1986,B,00000197_F.jpg,,,,,1483,214110.1144861674,6848901.207770045,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000197_F.jpg",183,,21.596249848273,61.66643802831
198,Bielgsundi,salmi,114208+114205,,12,56,1,Ahlainen,"Miikkulainen, Raija",1986,B,00000198_F.jpg,,,,,1482,212439.6939212557,6853259.902641607,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000198_F.jpg",184,,21.557971212431,61.704143225718
199,Bierholma,asumus,114208+114205,,11,56,8,Ahlainen,"Miikkulainen, Raija",1986,B,00000199_F.jpg,,,,,1482,210966.8868526484,6854054.194578107,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000199_F.jpg",185,,21.52898754462,61.710134204986
200,Bierholma,asumus,V:3/11,I,6,K,,Ahlainen,"Vasama, Marjatta",1963,B,00000200_F.jpg,,,,,1457,212570.5314591241,6853246.928289712,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000200_F.jpg",186,,21.560454569282,61.704125338496
201,"Bierholman lypsyranta",ranta,114208+114205,,12,56,18,Ahlainen,"Miikkulainen, Raija",1986,B,00000201_F.jpg,,,,,1482,212321.5543170441,6853959.289102228,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000201_F.jpg",187,,21.554642314431,61.710304677087
202,Bierholmansunti,salmi,114208+114205,,12,56,17,Ahlainen,"Miikkulainen, Raija",1986,B,00000202_F.jpg,,,,,1482,212403.4644427868,6853901.794494897,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000202_F.jpg",188,,21.556275321161,61.709852313909
203,Birksund,torppa,V:3/16,II,7,A,,Ahlainen,"Vasama, Marjatta",1963,B,00000203_F.jpg,,,,,1458,213439.2445955423,6852197.050665975,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000203_F.jpg",189,,21.578459118365,61.695392750628
204,Bismööri,niitty,114207+114204,,10,48,3,Ahlainen,"Miikkulainen, Raija",1974,B,00000204_F.jpg,,,,,1477,210094.5832614111,6845483.357362449,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000204_F.jpg",190,,21.526176053417,61.632887134455
205,Björkgrundi,saari,V:3/16,II,5,A,,Ahlainen,"Vasama, Marjatta",1962,B,00000205_F.jpg,,,,,1458,211426.9264551962,6852341.617275706,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000205_F.jpg",191,,21.54036211873,61.695176688879
206,Björkholma,saari,V:3/11,I,6,J,,Ahlainen,"Vasama, Marjatta",1963,B,00000206_F.jpg,,,,,1457,212647.1727696862,6854218.271775366,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000206_F.jpg",192,,21.560364083573,61.712863202901
207,Björkrunni,saari,114208+114205,,11,55,1,Ahlainen,"Miikkulainen, Raija",1986,B,00000207_F.jpg,,,,,1482,211055.8853539671,6852223.030702109,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000207_F.jpg",193,,21.533568005392,61.693837784963
