ID,Paikannimi,Paikanlaji,"Kartan numero","Kerääjän karttanumero",X,Y,Pistesij.viite,Pitäjä,Kerääjä,Vuosi,Aakkonen,Kuvatiedosto,Jatko,PEX,"Muut nimet","Todellinen pitäjä",KarttaID,X_euref,Y_euref,HuomioKotus,Kokoelma,Kuvalinkki,RerSer,Emolippu,wgs84_long,wgs84_lat
508,Furuskerinsunti,salmi,"114210 A",7,1,A,,Ahlainen,"Happonen, Raija",1969,F,00000508_F.jpg,,,,,1473,212331.0132526467,6843473.193046433,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\F\kotus-201214_0001_AHLAINEN_00000508_F.jpg",472,,21.571334784643,61.616601483318
509,Fyrkantti,pelto,V:3/11,I,6,J,,Ahlainen,"Vasama, Marjatta",1963,F,00000509_F.jpg,,,,,1457,212647.1727696862,6854218.271775366,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\F\kotus-201214_0001_AHLAINEN_00000509_F.jpg",473,,21.560364083573,61.712863202901
510,Fyyrkantti,pelto,114208+114205,,12,57,5,Ahlainen,"Miikkulainen, Raija",1986,F,00000510_F.jpg,,,,,1482,212585.0056353087,6854784.29734464,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\F\kotus-201214_0001_AHLAINEN_00000510_F.jpg",474,,21.558299456688,61.717874894031
511,Fyyräpolku,,V:3/17,II,3,M,3,Ahlainen,"Mäenpää, Marja-Liisa",1967,F,00000511_F.jpg,,,X,,1470,220148.6416333926,6848145.535839193,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\F\kotus-201214_0001_AHLAINEN_00000511_F.jpg",475,,21.710963918324,61.66412964922
511,Fyyrä,tila,V:3/17,II,3,M,,Ahlainen,"Mäenpää, Marja-Liisa",1967,F,00000511_F.jpg,,,X,,1470,220002.9295266127,6848093.375512909,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\F\kotus-201214_0001_AHLAINEN_00000511_F.jpg",476,,21.708303882278,61.663557243981
512,Fälttikivi,kivi,V:3/17,II,4,L,5,Ahlainen,"Mäenpää, Marja-Liisa",1967,F,00000512_F.jpg,,,,,1470,220937.6326669089,6848723.964121468,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\F\kotus-201214_0001_AHLAINEN_00000512_F.jpg",477,,21.724916633106,61.669874076371
513,"Färjätty Lainekari",kari,114211,,14,57,6,Ahlainen,"Miikkulainen, Raija",1986,F,00000513_F.jpg,,,,,1483,214888.2344428317,6854648.920527058,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\F\kotus-201214_0001_AHLAINEN_00000513_F.jpg",478,,21.601889416743,61.718384866056
514,Galtti,kivi,V:3/16,II,7,D,11,Ahlainen,"Vasama, Marjatta",1963,G,00000514_F.jpg,,,,,1458,213448.2374321991,6849089.358621286,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000514_F.jpg",479,,21.583510138828,61.667626438351
515,Gefti,luoto,,,,,,Ahlainen,"Eloranta, Aino",1962,G,00000515_F.jpg,,,,,0,-1,-1,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000515_F.jpg",480,,-1,-1
516,Gelviiki,niitty,114207+114204,,07,48,10,Ahlainen,"Miikkulainen, Raija",1974,G,00000516_F.jpg,,,,,1477,207247.1139596254,6845632.133866972,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000516_F.jpg",481,,21.472468160723,61.63206048995
517,Giislee,saari,,,,,,Ahlainen,"Kleemola, Tarja",1969,G,00000517_F.jpg,,,,,0,-1,-1,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000517_F.jpg",482,,-1,-1
518,Gilviiki,maa,V:3/16,II,8,B,,Ahlainen,"Vasama, Marjatta",1963,G,00000518_F.jpg,,,X,,1458,214366.9808222684,6851112.243756749,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000518_F.jpg",483,,21.597618669499,61.686389426796
518,Gilviiki,maa,V:3/16,II,9,C,11,Ahlainen,"Vasama, Marjatta",1963,G,00000518_F.jpg,,,X,,1458,215625.1283755028,6850409.575515448,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000518_F.jpg",484,,21.62238630466,61.681043462274
519,Girksundi,ranta,114211,,14,58,6,Ahlainen,"Miikkulainen, Raija",1986,G,00000519_F.jpg,,,,,1483,214581.9817993242,6855796.695495144,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000519_F.jpg",485,,21.594320071982,61.728414672519
521,Girsgrundi,niittu,V:3/16,II,9,D,5,Ahlainen,"Vasama, Marjatta",1963,G,00000521_F.jpg,,,,,1458,214811.4836022402,6849475.644308591,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000521_F.jpg",486,,21.608540054874,61.672093205123
522,Girspirri,luoto,,,,,,Ahlainen,"Eloranta, Aino",1962,G,00000522_F.jpg,,,,,0,-1,-1,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000522_F.jpg",487,,-1,-1
523,Girspirri,,,,,,,Ahlainen,"Eloranta, Aino",1962,G,00000523_F.jpg,J,,,,0,-1,-1,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000523_F.jpg",488,487,-1,-1
524,Giselö,saari,V:3/16,1,6,C,,Ahlainen,"Kleemola, Tarja",1969,G,00000524_F.jpg,,,,,1476,212185.3587874773,6850317.956530807,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000524_F.jpg",489,,21.557828626746,61.677661856648
525,Giselö,,,,,,,Ahlainen,"Kleemola, Tarja",1969,G,00000525_F.jpg,J,,,,0,-1,-1,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000525_F.jpg",490,489,-1,-1
