Paikanlajiteema_id,Paikanlajiteema,Paikanlajiryhmä_id,Paikanlajiryhmä,Paikanlajialaryhmä_id,Paikanlajialaryhmä,Paikanlaji_id,Paikanlaji,Paikanlajin_kuvaus
,,,,,,4060110,Vapaaehtoisen tai sopimuspalokunnan yksikkö,Palo- ja pelastustoimeen kuuluvien tehtävien hoidosta sopimuksen tehneen vapaa- tai laitospalokunnan asemapaikka.
,,,,,,4060199,Muu pelastustoimen yksikkö,Muu pelastustoimen yksikkö kuin pelastus- tai paloasema tai vapaaehtoisen tai sopimuspalokunnan yksikkö.
,,,,40602,Poliisitoimen yksiköt,,,
,,,,,,4060205,Poliisiasema,Poliisin asemapaikka.
,,,,,,4060299,Muu poliisitoimen yksikkö,Muu poliisitoimen yksikkö kuin poliisiasema.
,,,,40603,Rikosseuraamuslaitoksen yksiköt ,,,
,,,,,,4060305,Vankila,Laitos jossa pannaan täytäntöön vankeusrangaistuksia ja jossa säilytetään vangittuja henkilöitä.
,,,,,,4060399,Muu rikosseuraamuslaitoksen yksikkö,Muu rikosseuraamuslaitoksen yksikkö kuin vankila.
,,,,40604,Tullin yksiköt,,,
,,,,,,4060405,Tulliasema,Tullin toimipiste.
,,,,,,4060499,Muu tullin yksikkö,Muu tullin yksikkö kuin tulliasema.
,,,,40605,Puolustusvoimien yksiköt,,,
,,,,,,4060505,Sotilasalue,"Asevoimien hallussa oleva varuskunta-, harjoitus- tai muu alue; erilaisten sotilaslaitosten sijaintipaikka.

"
,,,,,,4060599,Muu puolustusvoimien yksikkö,Muu puolustusvoimien yksikkö kuin sotilasalue.
,,,,40606,Rajavartiolaitoksen yksiköt,,,
,,,,,,4060605,Rajanylityspaikka,Kansainvälinen rajanylityspaikka Suomen ja Venäjän välisellä maarajalla.
,,,,,,4060699,Muu rajavartiolaitoksen yksikkö,Muu rajavartiolaitoksen yksikkö kuin kansainvälinen rajanylityspaikka.
,,,,40699,Muut turvallisuus- ja puolustusalan yksiköt,,,
,,,,,,4069999,Muu turvallisuus- tai puolustusalan yksikkö,Muihin paikanlajeihin kuulumaton turvallisuus- tai puolustusalan yksikkö.
,,407,Koulutus- ja tutkimusyksiköt,,,,,
,,,,40701,Koulutusyksiköt,,,
,,,,,,4070105,Yliopisto tai korkeakoulu,Korkeinta tieteellistä tai ammattikoulutusta antava ja tieteellistä tutkimusta harjoittava oppilaitos.
,,,,,,4070199,Muu koulutusyksikkö,Muu koulutusyksikkö kuin  yliopisto tai korkeakoulu.
,,,,40702,Tutkimusyksiköt,,,
,,,,,,4070205,Tutkimuslaitos,Tieteellistä tutkimusta harjoittava laitos.
,,,,,,4070299,Muu tutkimusyksikkö,Muu tutkimusyksikkö kuin tutkimuslaitos; tutkimusasema.
,,408,Jätehuollon yksiköt,,,,,
,,,,40801,Jätehuollon yksiköt,,,
,,,,,,4080105,Jätteenkäsittelylaitos,"Laitos jossa kaatopaikkajäte hyödynnetään tai käsitellään ympäristöä vähemmän rasittavaksi.
"
,,,,,,4080199,Muu jätehuollon yksikkö,"Muu jätehuollon yksikkö kuin jätteenkäsittelylaitos; kaatopaikka, maankaatopaikka, vedenpuhdistamo."
,,499,Muut hallinnon yksiköt ja julkiset palvelut,,,,,
,,,,49999,Muut hallinnon yksiköt ja julkiset palvelut,,,
,,,,,,4999999,Muu hallinnon yksikkö tai julkinen palvelu,Muihin paikanlajeihin kuulumaton hallinnon yksikkö tai julkinen palvelu.
5,Suojellut kohteet,,,,,,,
,,501,Luonnonsuojelualueet,,,,,
,,,,50101,Luonnonsuojelualueet,,,
,,,,,,5010105,Kansallispuisto,"Valtion omistamalle alueelle yleiseksi nähtävyydeksi perustettu luonnonsuojelualue, josta on säädetty lailla."
,,,,,,5010110,Luonnonpuisto,"Valtion omistamalle alueelle perustettu tieteellisiin tms. tarkoituksiin varattu luonnonsuojelualue, josta on säädetty lailla tai asetuksella."
,,,,,,5010115,Muu luonnonsuojelualue,Asetuksella valtion omistamalle alueelle tai ELY-keskuksen päätöksen perusteella yksityismaalle perustettu muu luonnonsuojelualue kuin kansallispuisto tai luonnonpuisto.
,,599,Muut suojellut kohteet,,,,,
,,,,59999,Muut suojellut kohteet,,,
,,,,,,5999905,Erämaa-alue,"Alueen erämaaluonteen säilyttämiseksi, saamelaiskulttuurin ja luontaiselinkeinojen turvaamiseksi sekä luonnon monipuolisen käytön ja sen edellytysten kehittämiseksi perustettu alue, josta on säädetty lailla."
,,,,,,5999910,Valtion retkeilyalue,"Valtion maalle valtioneuvoston päätöksellä perustettu retkeilyalue, jolla on ulkoilun kannalta huomattava merkitys."
,,,,,,5999915,Maailmanperintökohde,"YK:n kasvatus-, tiede- ja kulttuurijärjestö Unescon maailmanperintöluetteloon merkitty kulttuuri- tai luontokohde.
"
,,,,,,5999920,Luonnonmuistomerkki,Säilyttämisen arvoinen harvinainen tai erikoinen luonnonmuodostuma.
,,,,,,5999925,Muinaisjäännös,"Muinaisajoilta peräisin oleva jäännös, muinaismuisto."
,,,,,,5999999,Muu suojeltu kohde,Muihin paikanlajeihin kuulumaton suojeltu kohde.
6,Liikennepaikat,,,,,,,
,,601,Liikennepaikat,,,,,
,,,,60101,Tieliikennepaikat,,,
,,,,,,6010105,Linja-autoasema,"Kaupungissa tai taajamassa sijaitseva linja-autoliikenteen, erityisesti kauko- ja pikavuoroliikenteen solmukohta."
,,,,,,6010110,Lautta tai lossi,Tieverkostoon kuuluva autoja tms. kuljettava erikoisrakenteinen matkustaja-alus.
,,,,,,6010199,Muu tieliikennepaikka,"Muu tieliikennepaikka kuin linja-autoasema, lautta tai lossi, tiesilta, tietunneli tai tieliikenneterminaali."
,,,,60102,Rautatieliikennepaikat,,,
,,,,,,6010205,Rautatieasema tai seisake,"Rautateiden liikennepaikka, jossa henkilöjunat pysähtyvät."
,,,,,,6010210,Metroasema,Metrojunan pysähdyspaikka.
,,,,,,6010299,Muu rautatieliikennepaikka,"Muu rautatieliikennepaikka kuin rautatieasema, seisake, metroasema, rautatiesilta, rautatietunneli tai liikenneterminaali."
,,,,60103,Vesiliikennepaikat,,,
,,,,,,6010305,Satama,"Ranta-alue laitureineen ym. rakennelmineen alusten lastaamista, purkamista, huoltoa tms. varten."
,,,,,,6010310,Majakka tai turvalaite,Majakka tai muu vesiliikennettä turvaava laite.
,,,,,,6010399,Muu vesiliikennepaikka,"Muu vesiliikennepaikka kuin satama, majakka, turvalaite tai liikenneterminaali."
,,,,60104,Ilmaliikennepaikat,,,
,,,,,,6010405,Lentoasema tai lentokenttä,"Lentokoneiden lähtö- ja laskeutumiskenttä mahdollisine rakennuksineen, rakennelmineen ja laitteineen."
,,,,,,6010499,Muu ilmaliikennepaikka,Muu ilmaliikennepaikka kuin lentoasema tai lentokenttä; helikopterikenttä.
,,,,60105,Tietoliikennepaikat,,,
,,,,,,6010505,Datakeskus,"Rakennus tai tila, jossa toimii paljon suurten tietomäärien tallentamiseen ja käsitelyyn tarkoitettuja laitteita."
,,,,,,6010599,Muu tietoliikennepaikka,Muu tietoliikennepaikka kuin datakeskus.
,,,,60199,Muut liikennepaikat,,,
,,,,,,6019905,Silta,"Rakennelma joka johtaa liikenneväylän jonkin esteen (vesistön, notkon tai toisen tien) yli; tie- tai rautatiesilta."
,,,,,,6019910,Tunneli,Liikennettä varten rakennettu maanalainen käytävä; tie- tai rautatietunneli.
,,,,,,6019915,Liikenneterminaali,"Paikka jonne matkustajat tai kuljetettavat tavarat kootaan ennen kuljetusvälineeseen siirtämistä; lentoterminaali, laivaterminaali, matkustajaterminaali, tavaraterminaali tms."
,,,,,,6019999,Muu liikennepaikka,Muihin paikanlajeihin kuulumaton liikennepaikka.
7,"Tuotannon, teollisuuden ja kaupan yksiköt",,,,,,,
,,701,Tuotannon ja teollisuuden yksiköt,,,,,
,,,,70101,Maatalouden yksiköt,,,
,,,,,,7010199,Maatalouden yksikkö,"Muu maatalouden yksikkö kuin pelto (ks. Maastokohteet); puutarha, taimitarha, turkistarha tms."
,,,,70102,Riista- ja kalatalouden yksiköt,,,
,,,,,,7010299,Riista- tai kalatalouden yksikkö,"Riista- tai kalatalouden yksikkö, esim. kalanviljelylaitos."
,,,,70103,Maa-aineksenottoalueet,,,
,,,,,,7010305,Kaivos tai louhos,Kaivannaisten (mineraalin tai malmin) maanalainen tai maanpäällinen louhimispaikka.
,,,,,,7010310,Soran- tai hiekanottoalue,"Paikka, josta kaivetaan soraa tai hiekkaa."
,,,,,,7010315,Turvetuotantoalue,"Paikka, josta kaivetaan tai kerätään turvetta."
,,,,,,7010399,Muu maa-aineksenottoalue,Muihin  paikanlajeihin kuulumaton maa-aineksenottoalue.
,,,,70104,Teollisuuden yksiköt,,,
,,,,,,7010405,Teollisuusalue,Teollista tuotantoa harjoittavien laitosten keskittymä.
,,,,,,7010410,Tehdas,Tuotantolaitos tai teollisuusrakennus jossa valmistetaan koneellisesti tuotteita.
,,,,,,7010415,Telakka,"Rakennelma tai paikka, jossa rakennetaan aluksia tai johon ne saatetaan kuiville korjausta tms. varten."
,,,,,,7010499,Muu teollisuuden yksikkö,"Muu teollisuuden yksikkö kuin teollisuusalue, tehdas tai telakka."
