paikanlaji,
APPELLATIIVI a,
LUOKITTELEMATON kiekeröintipaikka,
LUOKITTELEMATON kierä,
LUOKITTELEMATON kihlakunta,
LUOKITTELEMATON kihlua,
LUOKITTELEMATON kiinnityspaalut,
LUOKITTELEMATON kiinnityssarka,
LUOKITTELEMATON kiintolinja,
LUOKITTELEMATON kiintopiste,
LUOKITTELEMATON kilometrintorppa,
LUOKITTELEMATON kilta,
LUOKITTELEMATON kimpivarasto,
LUOKITTELEMATON kinkerikunta,
LUOKITTELEMATON kinkeripiiri,
LUOKITTELEMATON kipari,
LUOKITTELEMATON kirjapaino,
LUOKITTELEMATON kirjasto,
LUOKITTELEMATON kirjastorakennus,
LUOKITTELEMATON kirjastotalo,
LUOKITTELEMATON kirkkokunta,
LUOKITTELEMATON kirkkovene,
LUOKITTELEMATON kirkon penkkirivit,
LUOKITTELEMATON kirkonkello,
LUOKITTELEMATON kirkonkellot,
LUOKITTELEMATON kirnut,
LUOKITTELEMATON kirnut,
LUOKITTELEMATON kiuas,
LUOKITTELEMATON kiukama,
LUOKITTELEMATON kivirummun seutu,
LUOKITTELEMATON klubi,
LUOKITTELEMATON kodan paikka/kodanpaikka,
LUOKITTELEMATON koelaitos,
LUOKITTELEMATON koirien hoitopaikka,
LUOKITTELEMATON Koisuo,
LUOKITTELEMATON koju,
LUOKITTELEMATON kokoamisaita,
LUOKITTELEMATON kokoamispaikka,
LUOKITTELEMATON kokouma,
LUOKITTELEMATON Kolkkala,
LUOKITTELEMATON kölli,
LUOKITTELEMATON köllinimi,
LUOKITTELEMATON kolmiomittaustorni,
LUOKITTELEMATON kolmionmittaustorni,
LUOKITTELEMATON kolmiopiste,
LUOKITTELEMATON kolve,
LUOKITTELEMATON kone,
LUOKITTELEMATON konekivääripesäke,
LUOKITTELEMATON konto,
LUOKITTELEMATON konttori,
LUOKITTELEMATON konttorialue,
LUOKITTELEMATON konttorirakennus,
LUOKITTELEMATON kooju,
LUOKITTELEMATON koristepuuryhmä,
LUOKITTELEMATON korki,
LUOKITTELEMATON korko,
LUOKITTELEMATON korpo,
LUOKITTELEMATON korppi,
LUOKITTELEMATON koskitilat,
LUOKITTELEMATON kotila,
