wiki_id,kotus_id,place_name,place_type,name_type,parish,lat,long,precision,collector,collection_year,collection
Q5016118,9414,Metsänrantamylly,mylly,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5018149,10446,Tonttila,maa,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5014946,8821,Kivimäenluhta,pelto,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5014023,8351,Hintsa-Pesola,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5014952,8824,Kivimäki,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5018244,10495,Tupala,tontti,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5016240,9476,Mylly-Jussin mylly,mylly,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5018246,10496,Tupeli,torppa,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5016325,9519,Mäki,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5014261,8474,Ison-Pesolan mäki,mäki,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5014263,8475,Iso-Pesola,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5018525,10637,Viitala,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5006708,3367,Pikkusundi,salmi,paikannimi,Ahlainen,61.726225709,21.547746173,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Miikkulainen, Raija",1986,1-kokoelma
Q5011048,5546,Aholanristeys,tienristeys,paikannimi,Aitolahti,61.560690467,23.948673745,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Mäkelä, Matti",1969,1-kokoelma
Q5017585,10159,Rämäkkö,viljelysmaa,paikannimi,Alahärmä,63.188451394,22.887782883,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Viitala, Pirjo",1972,1-kokoelma
Q5008270,4152,Salonen,tila,paikannimi,Ahlainen,61.746116258,21.626544072,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Miikkulainen, Raija",1986,1-kokoelma
Q5001062,525,Grönholm,tila,paikannimi,Ahlainen,61.746116258,21.626544072,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Miikkulainen, Raija",1986,1-kokoelma
Q5007416,3724,Rajala,tila,paikannimi,Ahlainen,61.746116258,21.626544072,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Miikkulainen, Raija",1986,1-kokoelma
Q5006031,3027,Ojala,Tila,paikannimi,Ahlainen,61.746116258,21.626544072,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Miikkulainen, Raija",1986,1-kokoelma
Q5000622,302,Eloranta,tila,paikannimi,Ahlainen,61.746116258,21.626544072,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Miikkulainen, Raija",1986,1-kokoelma
